time,pcb,xiapmi
938,11.167404,-16.33925438
943,2.440141,-12.03930283
947,-6.704323,-3.602178097
952,-14.747571,5.021501064
957,-15.809978,11.82423306
962,-13.035106,17.70579529
967,-5.268376,14.88694
972,3.541357,9.570091248
977,10.148657,-0.2404857576
981,15.509205,-10.51047516
986,15.203581,-15.884758
991,11.308088,-16.27957916
996,2.794277,-12.00598907
1001,-8.567174,-3.489936352
1006,-15.717806,5.035683155
1010,-16.251435,11.89591217
1015,-13.486265,17.72723579
1020,-6.199801,14.86302185
1025,2.51776,9.486343384
1030,10.750203,-0.2524505556
1035,16.862683,-10.55113411
1039,15.058046,-15.91584969
1044,11.948443,-16.32967377
1049,2.770021,-11.89089966
1054,-8.416788,-3.475400448
1059,-16.110751,5.129183292
1064,-15.480098,11.88406658
1068,-13.626949,17.76562881
1073,-6.262866,14.80809307
1078,2.755467,9.519961357
1083,10.109848,-0.4030881822
1088,16.527952,-10.55112553
1093,15.65474,-15.93492222
1097,12.220109,-16.30096054
1102,3.478292,-11.91965294
1107,-8.188783,-3.331807613
1112,-16.047685,5.129226208
1117,-15.90215,11.96548462
1122,-12.96719,17.7417469
1126,-7.024501,14.81532288
1131,2.47895,9.460189819
1136,10.425174,-0.5013157129
1141,16.68804,-10.63731766
1146,14.713612,-15.99724197
1151,10.890887,-16.25566483
1156,0.887765,-11.85506058
1160,-8.038396,-3.255217075
1165,-15.746913,5.11245966
1170,-16.343607,12.06836414
1175,-12.457816,17.72014427
1180,-5.355697,14.76968384
1185,4.652276,9.33320713
1189,10.20202,-0.4941087663
1194,15.73721,-10.67558193
1199,15.218135,-16.00912857
1204,11.259576,-16.27705002
1209,1.649399,-11.80007648
1214,-9.4986,-3.224145412
1218,-15.053195,5.219912052
1223,-16.998516,12.02749825
1228,-13.234004,17.8229084
1233,-5.472125,14.68591499
1238,3.42978,9.354707718
1243,9.978866,-0.678388238
1247,15.387926,-10.67793465
1252,15.950662,-16.02827644
1257,11.19166,-16.24835014
1262,1.833744,-11.77371788
1267,-9.537409,-3.164313793
1272,-15.237539,5.265602589
1276,-16.363012,12.12821198
1281,-13.510521,17.74644279
1286,-5.976647,14.70987034
1291,4.031326,9.27575779
1296,9.969164,-0.7238451242
1301,17.090688,-10.81198025
1305,15.320009,-16.04982376
1310,12.297727,-16.20049858
1315,2.192731,-11.72826099
1320,-8.727263,-3.085347652
1325,-15.421884,5.306266308
1330,-15.101706,12.1472435
1334,-13.263111,17.80137062
1339,-6.447211,14.65001774
1344,3.327906,9.227883339
1349,10.022527,-0.7669531107
1354,17.396312,-10.84070492
1359,14.277007,-16.07381248
1363,12.171597,-16.24130821
1368,2.668146,-11.63015652
1373,-8.6739,-3.037498951
1378,-14.946469,5.38996172
1383,-15.669294,12.15680599
1388,-11.312939,17.8373642
1393,-4.298141,14.60466671
1397,3.196924,9.242241859
1402,9.91095,-0.9294496775
1407,16.649231,-10.87880611
1412,15.349116,-16.08319664
1417,11.531242,-16.19087791
1422,0.86836,-11.60144711
1426,-8.669049,-2.989647388
1431,-14.57778,5.430691242
1436,-15.392777,12.23344135
1441,-11.613712,17.80393791
1446,-4.71049,14.57105255
1451,3.958558,9.203956604
1455,9.687796,-1.006217599
1460,16.173816,-10.92925262
1465,15.32486,-16.10492706
1470,11.327493,-16.15996552
1475,1.004193,-11.61360931
1480,-8.804882,-2.889365673
1484,-14.626291,5.440041065
1489,-16.144709,12.30983734
1494,-12.855613,17.83246803
1499,-5.447869,14.55908966
1504,3.410376,9.077140808
1509,10.759905,-1.018175721
1513,16.028281,-11.01777935
1518,15.480098,-16.10484123
1523,11.502135,-16.21252251
1528,1.615441,-11.47233486
1533,-8.833989,-2.836637974
1538,-15.834234,5.499955654
1542,-16.265988,12.2430191
1547,-13.069064,17.90437889
1552,-5.37025,14.52086163
1557,3.483143,9.070010185
1562,10.662882,-1.211941361
1567,17.173158,-10.97229767
1571,16.071941,-16.18127823
1576,12.302579,-16.15735245
1581,2.459545,-11.49374771
1586,-8.392532,-2.762332439
1591,-15.780871,5.545544147
1596,-15.460693,12.35786152
1600,-13.636652,17.85412407
1605,-5.7826,14.50409985
1610,2.847639,9.038905144
1615,10.609519,-1.240714669
1620,17.1392,-11.07519245
1625,14.859148,-16.20301437
1630,9.513153,-16.11686325
1634,3.298799,-11.48437214
1639,-8.377978,-2.676176548
1644,-15.557717,5.593400478
1649,-15.65474,12.42247105
1654,-12.10368,17.81583977
1659,-4.031326,14.51128674
1663,2.871895,8.926392555
1668,10.022527,-1.297999024
1673,16.819022,-11.17078686
1678,14.917362,-16.17177773
1683,10.090443,-16.14785194
1688,0.853807,-11.41958618
1692,-8.329467,-2.637923717
1697,-15.145367,5.70346117
1702,-15.44614,12.39857483
1707,-12.098829,17.90916634
1712,-3.88094,14.4275341
1717,4.244778,8.890506744
1721,10.633775,-1.38667357
1726,16.178667,-11.17331028
1731,15.965215,-16.23398399
1736,10.129252,-16.12631798
1741,1.416543,-11.31673241
1746,-9.401576,-2.597295284
1750,-15.150218,5.715372562
1755,-16.324202,12.47504616
1760,-12.593649,17.89480019
1765,-4.613467,14.38446712
1770,3.580167,8.868970871
1775,10.963654,-1.487168908
1779,16.440631,-11.23788452
1784,15.625633,-16.27711678
1789,10.619221,-16.07843781
1794,1.600888,-11.3286829
1799,-9.139613,-2.487205982
1804,-15.475247,5.68913126
1808,-16.110751,12.58524895
1813,-12.365644,17.88056755
1818,-5.064626,14.38226128
1823,3.79847,8.780653
1828,11.264427,-1.537187219
